path,split
madang12/baebijangtaryeong/bakdongjin/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong CD1/02-bakdongjin-baebijang taryeong_badaeseo pungrangmanna gosa jinaego jejue dangdoham.csv,valid
madang12/baebijangtaryeong/bakdongjin/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong CD1/03-bakdongjin-baebijang taryeong_jeongbijanggwa aerangui ibyeoldaemok.csv,valid
madang12/baebijangtaryeong/bakdongjin/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong CD1/04-bakdongjin-baebijang taryeong_sinimsatto doimhaengcha.csv,valid
madang12/baebijangtaryeong/bakdongjin/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong CD1/05-bakdongjin-baebijang taryeong_baebijang hoejeolsikil eummokkumyeo hanrasaneuro cheonryeopgam.csv,train
madang12/baebijangtaryeong/bakdongjin/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong CD2/01-bakdongjin-baebijang taryeong_aerangege banhan baebijang.csv,train
madang12/baebijangtaryeong/bakdongjin/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong CD2/02-bakdongjin-baebijang taryeong_sangsabyeongnan baebijang.csv,train
madang12/baebijangtaryeong/bakdongjin/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong CD2/03-bakdongjin-baebijang taryeong_baebijang aerang mannareo ganeun daemok.csv,valid
madang12/baebijangtaryeong/bakdongjin/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong CD2/04-bakdongjin-baebijang taryeong_bangjawa aerangi jjagoseo nongganburineun daemok.csv,train
madang12/baebijangtaryeong/bakdongjin/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong CD2/05-bakdongjin-baebijang taryeong_aerang baebijangege sajoehaneun daemok.csv,train
"madang12/baebijangtaryeong/gimsohui/pan-0-017 bikteo yuseonggi wonban sirijeu 10 gimyeoran,gimsohui choginogeum seonjip/09-gimsohui-baebijangjeon jung jeongbijanggwa aerangi ibyeolhaneun de.csv",train
madang12/garujigitaryeong/bakdongjin/pan-ga-001 garujigi taryeong/pan-ga-001 garujigi taryeong(1)/01-bakdongjin(chang)-garujigitaryeong_cheoeum daemok~jeokmakhan sanjunge joeun giwajibeul chajaseo jeonyeokbabeul jieomeokgo teonulrigireul bamsaedorok han yeonhu.csv,test
madang12/garujigitaryeong/bakdongjin/pan-ga-001 garujigi taryeong/pan-ga-001 garujigi taryeong(1)/02-bakdongjin(chang)-garujigitaryeong_gangsoe yeojaga gyeondida mothayeo haruneun gangsoereul japgo tongsajeonghaneun daemok~jangseung daebanghante jimseungdeuri gohaneun daemok.csv,valid
madang12/garujigitaryeong/bakdongjin/pan-ga-001 garujigi taryeong/pan-ga-001 garujigi taryeong(2)/01-bakdongjin-garujigitaryeong_jangseung daebang keuge nolra jangseung hoeuihaneun daemok~byeongangsoega kotgunyeoge chanbarami swaeswaenamyeo jukneun daemok.csv,train
madang12/garujigitaryeong/bakdongjin/pan-ga-001 garujigi taryeong/pan-ga-001 garujigi taryeong(2)/02-bakdongjin-garujigitaryeong_byeongangsoe jugeun daemok~chonggakjaengi hanpaega buchaereul buchimyeonseo deureooneun daemok.csv,train
madang12/garujigitaryeong/bakdongjin/pan-ga-001 garujigi taryeong/pan-ga-001 garujigi taryeong(3)/01-bakdongjin-garujigitaryeong_chonggakjaengideuri buchaereul buchimyeo gyeongjoreul sseugo deureooneunde~ongsaengwonui soni songjange ttak deureobutneun daemok.csv,train
madang12/garujigitaryeong/bakdongjin/pan-ga-001 garujigi taryeong/pan-ga-001 garujigi taryeong(3)/02-bakdongjin-garujigitaryeong_ongsaengwonui soni songjange ttak deureobutneun daemok~kkeutdaemok.csv,test
madang12/sugyeongnangjajeon/baksonghui/pan-suk-001 baksonghui sugyeongnangjajeon wanchang/01-baksonghui-sugyeongnangjajeon_seongungwa seonnyeo kkumsogeseo mannaneun daemok.csv,train
madang12/sugyeongnangjajeon/baksonghui/pan-suk-001 baksonghui sugyeongnangjajeon wanchang/02-baksonghui-sugyeongnangjajeon_seonguni nangja geurineun daemok.csv,train
madang12/sugyeongnangjajeon/baksonghui/pan-suk-001 baksonghui sugyeongnangjajeon wanchang/03-baksonghui-sugyeongnangjajeon_nangja chaja okryeondongeuro ganeun daemok.csv,valid
madang12/sugyeongnangjajeon/baksonghui/pan-suk-001 baksonghui sugyeongnangjajeon wanchang/04-baksonghui-sugyeongnangjajeon_seongungwa nangja dongbyeoldangeseo noneun daemok.csv,train
madang12/sugyeongnangjajeon/baksonghui/pan-suk-001 baksonghui sugyeongnangjajeon wanchang/05-baksonghui-sugyeongnangjajeon_sugyeongnangja sinyeoege mohamdanghaneun daemok.csv,train
madang12/sugyeongnangjajeon/baksonghui/pan-suk-001 baksonghui sugyeongnangjajeon wanchang/06-baksonghui-sugyeongnangjajeon_sugyeongnangja yueonhaneun daemok.csv,valid
madang12/sugyeongnangjajeon/baksonghui/pan-suk-001 baksonghui sugyeongnangjajeon wanchang/07-baksonghui-sugyeongnangjajeon_seonguni sugyeongnangja butdeulgo tonggokhaneun daemok.csv,test
madang12/sugyeongnangjajeon/baksonghui/pan-suk-001 baksonghui sugyeongnangjajeon wanchang/08-baksonghui-sugyeongnangjajeon_seonguni yak guhareo ganeun daemok.csv,train
madang12/sugyeongnangjajeon/baksonghui/pan-suk-001 baksonghui sugyeongnangjajeon wanchang/09-baksonghui-sugyeongnangjajeon_seonguni yakguhae sugyeongnangja salrineun daemok.csv,train
madang12/sugyeongnangjajeon/jeongjeongryeol/pan-0-031 pansori 5myeongchang jeongjeongryeol/12-jeongjeongryeol-sugyeongnangjajeon_moja ibyeolhaneun de.csv,train
madang12/sugyeongnangjajeon/jeongjeongryeol/pan-0-031 pansori 5myeongchang jeongjeongryeol/13-jeongjeongryeol-sugyeongnangjajeon_yakguhareo ganeun de.csv,train
madang5/chunhyangga/ansukseon/gita037 ansukseon jieum/02-ansukseon-chunhyanggajung ibyeolga.csv,train
madang5/chunhyangga/ansukseon/gita037 ansukseon jieum/10-ansukseon-eodiro galkkabuda.csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/01-ansukseon-chunhyangga_gisanyeongsu(jungjungmori).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/02-ansukseon-chunhyangga_dongmun bak nagamyeon(jungjungmori).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/03-ansukseon-chunhyangga_nagwi anjang(jajinmori).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/04-ansukseon-chunhyangga_jeokseongga(jinyang).csv,train
"madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/05-ansukseon-chunhyangga_imongryongi si eupneunde(sichang),anjeotda ireona(jungjungmori),baekbaekhonghong(jungjungmori).csv",train
"madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/06-ansukseon-chunhyangga_chunhyangui seolbuhwayong(jajinmori),bangja chunhyang bureureo ganeunde(jajinmori).csv",valid
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/07-ansukseon-chunhyangga_ne geureun naeryeok(jungjungmori).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/08-ansukseon-chunhyangga_gyeongsangdo sanseneun(jajinmori).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/09-ansukseon-chunhyangga_bangja chunhyangjip garikineun de(jinyang).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/10-ansukseon-chunhyangga_doryeonnim geusibuteo(jajinmori).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/11-ansukseon-chunhyangga_cheonja puri(jungjungmori).csv,test
"madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/12-ansukseon-chunhyangga_ieukgo toeryeongsori(jinyang),daldo bakgo daldo bakda(jajinmori).csv",train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/13-ansukseon-chunhyangga_bang chiryeo(jungmori).csv,test
"madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 1/14-ansukseon-chunhyangga_gin sarangga(jinyang),jajinsarangga(jungjungmori).csv",train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 2/01-ansukseon-chunhyangga_jeongjanorae(jungjungmori).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 2/02-ansukseon-chunhyangga_ibyeolcha naganeunde(jungmori)~geonjanghan dupaechogun(jungjungmori).csv,train
"madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 2/03-ansukseon-chunhyangga_ibyeolga chodu(jinyang),chunhyangmochini naonda(jungjungmori),chunhyangiga(jungmori).csv",train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 2/04-ansukseon-chunhyangga_orijeong ibyeol(jinyang)~geu jarie teolsseok(jungmori).csv,valid
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 3/01-ansukseon-chunhyangga_bi majeun jebigati(jinyang).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 3/02-ansukseon-chunhyangga_harugago iteulgago(jungmori).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 3/03-ansukseon-chunhyangga_sinyeonmaji(jajinmori).csv,train
"madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 3/04-ansukseon-chunhyangga_gisaengjeomgo(jinyang),jounmou yangdaeseoni(jungjungmori),gunrosaryeong(jungjungmori).csv",train
"madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 3/05-ansukseon-chunhyangga_galkkabuda(jungmori),acha acha nae ijeotda(danjungmori),baekgutaryeong(jungjungmori).csv",train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 3/06-ansukseon-chunhyangga_haengsugisaengi naganda(jungmori)~golbangui sucheongtongin(hwimori).csv,train
"madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 4/01-ansukseon-chunhyangga_jipjangsaryeong(jinyang),sipjangga(jinyang),yeoreul chigo(jungmori).csv",train
"madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 4/02-ansukseon-chunhyangga_yeoreo gisaengi deureoonda(jungjungmori),chunhyangiga jeongsin charyeo(jungmori).csv",test
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 4/03-ansukseon-chunhyangga_okjungga(jinyang).csv,test
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 4/04-ansukseon-chunhyangga_mongjungga(jungmori).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 4/05-ansukseon-chunhyangga_gisaengjung nanhyangi(jungmori).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 4/06-ansukseon-chunhyangga_ssukdaemeori(jungmori).csv,train
"madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 4/07-ansukseon-chunhyangga_gwageojang(jajinmori),namdaemun bak sseok naseoseo(jajinmori),eosahaengjang(jungmori).csv",train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 5/01-ansukseon-chunhyangga_bangja pyeonji jeonhaneunde(jinyang).csv,train
madang5/chunhyangga/ansukseon/pan-chun-023 ansukseon chunhyangga/pan-chun-023 ansukseon chunhyangga 5/02-ansukseon-chunhyangga_chunhyangpyeonji(nangsongjo).csv,train
